SN,Latitude,Longitude,Altitude,Heading,Speed
555,24.9343359,121.0846464,116,79.79,54.35
556,24.9342896,121.084352,117,80.16,54.29
557,24.934232,121.0839808,114,80.29,45.62
558,24.9341616,121.083584,113,78.93,48.98
559,24.9340784,121.0831872,115,76.98,49.33
560,24.9340304,121.0828544,115,80.96,40.82
561,24.9339824,121.0825472,115,80.22,37.76
562,24.9339343,121.0822784,116,78.84,33.19
563,24.9339024,121.082112,117,78.06,20.6
564,24.9338768,121.0819712,118,78.66,17.39
565,24.9338431,121.0818688,118,70.05,13.2
566,24.9338336,121.0818432,118,67.74,3.35
567,24.9338336,121.0818304,117,90,1.55
568,24.9338336,121.0818048,117,90,3.1
569,24.9338288,121.0818048,116,0,0.06
570,24.9338272,121.0817792,116,86.06,3.11
571,24.9338016,121.0816768,116,74.59,12.87
572,24.9337616,121.0814848,116,77.06,23.86
573,24.9337024,121.081216,116,76.35,33.51
574,24.9336224,121.0808576,117,76.17,44.71
575,24.933536,121.0804224,117,77.65,53.97
576,24.93348,121.0800896,117,79.49,61.5
577,24.9334208,121.0797312,117,79.68,66.19
578,24.9333584,121.0793344,115,80.16,73.17
579,24.9332928,121.0788992,114,80.56,80.16
580,24.933216,121.078464,113,78.99,80.56
581,24.9331344,121.0779904,113,79.24,87.59
582,24.9330432,121.0775168,113,78.01,87.97
583,24.932944,121.0770176,112,77.64,92.86
584,24.9328416,121.0765184,112,77.25,93
585,24.9327392,121.0760192,111,77.25,93
586,24.9326383,121.0755072,110,77.74,95.2
587,24.9325312,121.0749952,109,77.01,95.47
588,24.9324224,121.0744832,108,76.81,95.55
589,24.9323248,121.0739584,109,78.41,97.34
590,24.9322224,121.0734464,109,77.56,95.27
591,24.9321216,121.0729344,111,77.75,95.2
592,24.9320224,121.0724224,111,77.94,95.13
593,24.9319184,121.0719104,111,77.37,95.34
594,24.9318144,121.0713984,111,77.37,95.34
595,24.9317104,121.0708864,110,77.37,95.34
596,24.931608,121.0703872,109,77.25,93
597,24.9315072,121.0698752,109,77.75,95.2
598,24.9314048,121.069376,107,77.25,93
599,24.9312992,121.0688768,106,76.87,93.14
600,24.9312016,121.068352,107,78.41,97.34
601,24.9311008,121.0678528,106,77.45,92.93
602,24.9309952,121.0673408,105,77.19,95.41
603,24.9308495,121.0665856,105,77.99,93.53
604,24.9307968,121.0663296,104,77.21,95.4
605,24.930696,121.0658176,105,77.75,95.2
606,24.930592,121.0653184,105,77.06,93.07
607,24.9304736,121.0648192,105,75.34,93.76
608,24.9303248,121.06432,104,71.8,95.48
609,24.93016,121.0638336,105,69.51,94.35
610,24.9299776,121.0633728,103,66.42,91.36
611,24.9297792,121.0629248,103,63.97,90.59
612,24.9295696,121.0624896,103,62.03,89.54
613,24.9293456,121.0620672,103,59.68,88.91
614,24.9291151,121.0616832,102,56.5,83.68
615,24.9288704,121.061312,102,53.98,83.39
616,24.9286176,121.0609536,101,52.12,82.5
617,24.9283584,121.0605952,100,51.43,83.3
618,24.9280896,121.0602624,99,48.31,80.98
619,24.9278176,121.0599552,98,45.68,78.02
620,24.9275455,121.0596608,98,44.46,76.38
621,24.927264,121.059392,97,40.89,74.61
622,24.9269824,121.0591232,97,40.88,74.63
623,24.9267024,121.05888,97,38.23,71.42
624,24.9264208,121.0586496,97,36.57,70.26
625,24.9261472,121.0584448,97,34.17,66.26
626,24.9258848,121.0582784,97,29.9,60.65
627,24.9256256,121.0580992,97,32.09,61.3
628,24.9253824,121.0579456,96,29.8,56.16
629,24.9251456,121.0577792,94,32.51,56.26
630,24.924808,121.0575744,94,28.82,51.47
631,24.9244847,121.0573568,93,31.4,50.6
632,24.9241664,121.0571392,94,31.8,50.03
633,24.9238592,121.0569344,95,31.16,47.95
634,24.9235744,121.0567424,94,31.44,44.59
635,24.9233072,121.0565504,94,33.09,42.6
636,24.9230944,121.0564224,94,28.61,32.38
637,24.9229248,121.0563328,95,25.6,25.12
638,24.9227776,121.0562176,95,35.36,24.11
639,24.92268,121.0561536,95,30.74,15.17
640,24.9225824,121.0561024,95,25.44,14.44
641,24.922512,121.0560512,96,33.41,11.27
642,24.9224688,121.0560128,95,38.87,5.56
643,24.9224112,121.0559744,95,31.16,8.99
644,24.922384,121.0559488,95,40.48,7.16
645,24.9223616,121.055936,94,27.39,2.53
646,24.922336,121.0559104,94,42.2,3.46
647,24.9223296,121.0558848,94,74.59,3.22
648,24.9223168,121.0558592,94,61.13,3.54
649,24.9223104,121.0558464,94,61.13,1.77
650,24.9223008,121.0558336,94,50.41,2.01
651,24.922296,121.0558208,94,67.53,1.68
